place,nametype,type_of_meteorite,g_mass,fell_found,year,id,latitude,longitude
Harrison County,Valid,L6,680,Fell,1859,11842,38.250000,-86.166670
Hashima,Valid,H4,1110.6,Fell,1910,11848,35.294500,136.700330
Hassi-Jekna,Valid,"Iron, IAB-sHL",1250,Fell,1890,11852,28.950000,0.816670
Hatford,Valid,Stone-uncl,29000,Fell,1628,11855,51.650000,-1.516670
Haverö,Valid,Ureilite,1544,Fell,1971,11859,60.245560,22.061940
Hedeskoga,Valid,H5,3500,Fell,1922,11869,55.466670,13.783330
Hedjaz,Valid,L3.7-6,6100,Fell,1910,11870,27.333330,35.666670
Heredia,Valid,H5,1000,Fell,1857,11875,10.000000,-84.100000
Hessle,Valid,H5,20000,Fell,1869,11878,59.850000,17.666670
Higashi-koen,Valid,H5,750,Fell,1897,11883,33.600000,130.433330
High Possil,Valid,L6,4500,Fell,1804,11884,55.900000,-4.233330
Hiroshima,Valid,H5,414,Fell,2003,11889,34.450000,132.383330
Hoima,Valid,H6,167.7,Fell,2003,44714,1.345000,31.472780
Hökmark,Valid,L4,305.5,Fell,1954,11893,64.433330,21.200000
Holbrook,Valid,L/LL6,220000,Fell,1912,11894,34.900000,-110.183330
Holetta,Valid,Stone-uncl,1415,Fell,1923,11895,9.066670,38.416670
Homestead,Valid,L5,230000,Fell,1875,11901,41.800000,-91.866670
Honolulu,Valid,L5,2420,Fell,1825,11904,21.300000,-157.866670
Hotse,Valid,L6,180,Fell,1956,11913,35.666670,115.500000
Hoxie,Valid,OC,266.1,Fell,1963,11915,39.350000,-100.450000
Hraschina,Valid,"Iron, IID",49000,Fell,1751,11916,46.100000,16.333330
Huaxi,Valid,H5,1600,Fell,2010,54719,26.464690,106.632410
Hungen,Valid,H6,112,Fell,1877,11986,50.300000,8.916670
Hvittis,Valid,EL6,14000,Fell,1901,11989,61.183330,22.683330
Ibbenbüren,Valid,Diogenite,2000,Fell,1870,11992,52.283330,7.700000
Ibitira,Valid,Eucrite-mmict,2500,Fell,1957,11993,-20.000000,-45.000000
Ibrisim,Valid,OC,,Fell,1949,11994,38.000000,35.000000
Ichkala,Valid,H6,3973,Fell,1936,11995,58.200000,82.933330
Idutywa,Valid,H5,3457,Fell,1956,12000,-32.100000,28.333330
Iguaracu,Valid,H5,1200,Fell,1977,12003,-23.200000,-51.833330
Ijopega,Valid,H6,7330,Fell,1975,12004,-6.033330,145.366670
Indarch,Valid,EH4,27000,Fell,1891,12027,39.750000,46.666670
Independence,Valid,L6,880,Fell,1917,12028,39.083330,-94.400000
Inner Mongolia,Valid,L6,3000,Fell,1963,12037,41.000000,112.000000
Innisfree,Valid,L5,4576,Fell,1977,12039,53.415000,-111.337500
Ipiranga,Valid,H6,7000,Fell,1972,12043,-25.500000,-54.500000
Ishinga,Valid,H,1300,Fell,1954,12049,-8.933330,33.800000
Isthilart,Valid,H5,3050,Fell,1928,12053,-31.183330,-57.950000
Itapicuru-Mirim,Valid,H5,2024,Fell,1879,12056,-3.400000,-44.333330
Itqiy,Valid,EH7-an,4720,Fell,1990,12058,26.590830,-12.952170
Ivuna,Valid,CI1,704.5,Fell,1938,12063,-8.416670,32.433330
Jackalsfontein,Valid,L6,48000,Fell,1903,12065,-32.500000,21.900000
Jajh deh Kot Lalu,Valid,EL6,973,Fell,1926,12067,26.750000,68.416670
Jalanash,Valid,Ureilite,700,Fell,1990,12068,,
Jalandhar,Valid,Iron,1967,Fell,1621,12069,31.000000,75.000000
Jamkheir,Valid,H6,22,Fell,1866,12072,18.750000,75.333330
Jartai,Valid,L6,20500,Fell,1979,12074,39.700000,105.800000
Jelica,Valid,LL6,34000,Fell,1889,12078,43.833330,20.441670
Jemlapur,Valid,L6,450,Fell,1901,12079,,
Jesenice,Valid,L6,3667,Fell,2009,51589,46.421370,14.052170
Jhung,Valid,L5,5900,Fell,1873,12085,31.300000,72.383330
Jiange,Valid,H5,222,Fell,1964,12086,31.916670,104.916670
Jianshi,Valid,"Iron, IIIAB",600000,Fell,1890,12087,30.808330,109.500000
Jilin,Valid,H5,4e+06,Fell,1976,12171,44.050000,126.166670
Jodiya,Valid,L5,100,Fell,2006,47362,22.680000,70.313330
Jodzie,Valid,Howardite,30,Fell,1877,12173,55.700000,24.400000
Johnstown,Valid,Diogenite,40300,Fell,1924,12198,40.350000,-104.900000
Jolomba,Valid,LL6,483,Fell,1974,12199,-11.850000,15.833330
Jonzac,Valid,Eucrite-mmict,5000,Fell,1819,12202,45.433330,-0.450000
Juancheng,Valid,H5,100000,Fell,1997,12203,35.500000,115.416670
Judesegeri,Valid,H6,680,Fell,1876,12207,12.850000,76.800000
Jumapalo,Valid,L6,32490,Fell,1984,12209,-7.716670,111.200000
Junan,Valid,L6,950,Fell,1976,12210,35.200000,118.800000
Juromenha,Valid,"Iron, IIIAB",25250,Fell,1968,12213,38.740280,-7.270000
Juvinas,Valid,Eucrite-mmict,91000,Fell,1821,12214,44.716670,4.300000
Kaba,Valid,CV3,3000,Fell,1857,12218,47.350000,21.300000
Kabo,Valid,H4,13400,Fell,1971,12220,11.850000,8.216670
Kadonah,Valid,H6,89,Fell,1822,12221,27.083330,78.333330
Kaee,Valid,H5,230,Fell,1838,12222,27.250000,79.966670
Kagarlyk,Valid,L6,1900,Fell,1908,12227,49.866670,30.833330
Kaidun,Valid,CR2,2000,Fell,1980,12228,15.000000,48.300000
Kainsaz,Valid,CO3.2,200000,Fell,1937,12229,55.433330,53.250000
Kakangari,Valid,K3,350,Fell,1890,12230,12.383330,78.516670
Kakowa,Valid,L6,577,Fell,1858,12231,45.133330,21.666670
Kalaba,Valid,H4,950,Fell,1951,12232,-6.833330,29.500000
Kalumbi,Valid,L6,4500,Fell,1879,12236,17.833330,73.983330
Kamalpur,Valid,L6,2770,Fell,1942,12238,26.033330,81.466670
Kamiomi,Valid,H5,448,Fell,1913,12240,36.041670,139.956670
Kamsagar,Valid,L6,1293,Fell,1902,12241,14.183330,75.800000
Kandahar (Afghanistan),Valid,L6,299,Fell,1959,12243,31.600000,65.783330
Kangean,Valid,H5,1630,Fell,1908,12245,-7.000000,115.500000
Kangra Valley,Valid,H5,400,Fell,1897,12246,32.083330,76.300000
Kapoeta,Valid,Howardite,11355,Fell,1942,12251,4.700000,33.633330
Kaprada,Valid,L5/6,1600,Fell,2004,47357,20.339160,73.223290
Kaptal-Aryk,Valid,L6,3500,Fell,1937,12253,42.450000,73.366670
Karakol,Valid,LL6,3000,Fell,1840,12256,47.216670,81.016670
Karatu,Valid,LL6,2220,Fell,1963,12258,-3.500000,35.583330
Karewar,Valid,L6,180,Fell,1949,12260,12.900000,7.150000
Karkh,Valid,L6,22000,Fell,1905,12262,27.800000,67.166670
Karloowala,Valid,L6,2950,Fell,1955,12263,31.583330,71.600000
Karoonda,Valid,CK4,41730,Fell,1930,12264,-35.083330,139.916670
Kasamatsu,Valid,H,710,Fell,1938,12266,35.366670,136.766670
Kasauli,Valid,H4,16820,Fell,2003,30740,29.583330,77.583330
Katagum,Valid,L6,1500,Fell,1999,35465,11.333330,10.083330
Kavarpura,Valid,"Iron, IIE-an",6800,Fell,2006,47351,25.143330,75.813330
Kayakent,Valid,"Iron, IIIAB",85000,Fell,1961,12268,39.263330,31.780000
Kediri,Valid,L4,3300,Fell,1940,12270,-7.750000,112.016670
Kemer,Valid,L4,5760,Fell,2008,53654,36.541940,29.418220
Kendleton,Valid,L4,6937,Fell,1939,12275,29.450000,-96.000000
Kendrapara,Valid,H4-5,6669.2,Fell,2003,12276,20.462500,86.702780
Kerilis,Valid,H5,5000,Fell,1874,12282,48.400000,-3.300000
Kernouve,Valid,H6,80000,Fell,1869,12284,48.116670,-3.083330
Kesen,Valid,H4,135000,Fell,1850,12286,38.983330,141.616670
Khairpur,Valid,EL6,13600,Fell,1873,12288,29.533330,72.300000
Khanpur,Valid,LL5,3698,Fell,1932,12289,25.550000,83.116670
Kharkov,Valid,L6,1500,Fell,1787,12291,50.625000,35.075000
Kheragur,Valid,L6,450,Fell,1860,12294,26.950000,77.883330
Khetri,Valid,H6,100,Fell,1867,12296,28.016670,75.816670
Khmelevka,Valid,L5,6109,Fell,1929,12297,56.750000,75.333330
Khohar,Valid,L3.6,9700,Fell,1910,12298,25.100000,81.533330
Khor Temiki,Valid,Aubrite,3200,Fell,1932,12299,16.000000,36.000000
Kidairat,Valid,H6,100000,Fell,1983,12300,14.000000,28.000000
Kiel,Valid,L6,737.6,Fell,1962,12301,54.400000,10.150000
Kiffa,Valid,H5,1500,Fell,1970,12303,16.583330,-11.333330
Kijima (1906),Valid,Stone-uncl,331,Fell,1906,12305,36.850000,138.383330
Kikino,Valid,H6,195,Fell,1809,12306,55.000000,34.000000
Kilabo,Valid,LL6,19000,Fell,2002,12307,12.766670,9.800000
Kilbourn,Valid,H5,772,Fell,1911,12308,43.583330,-89.600000
Killeter,Valid,H6,140,Fell,1844,12309,54.666670,-7.666670
Kingai,Valid,H6,67.4,Fell,1967,12316,11.633330,24.683330
Kirbyville,Valid,Eucrite-mmict,97.7,Fell,1906,12321,30.750000,-95.950000
Kisvarsány,Valid,L6,1550,Fell,1914,12325,48.166670,22.308330
Kitchener,Valid,L6,202.6,Fell,1998,12326,43.383330,-80.383330
Klein-Wenden,Valid,H6,3250,Fell,1843,12332,51.600000,10.800000
Knyahinya,Valid,L/LL5,500000,Fell,1866,12335,48.900000,22.400000
Kobe,Valid,CK4,136,Fell,1999,12336,34.733330,135.166670
Kokubunji,Valid,L6,11510,Fell,1986,12342,34.300000,133.950000
Komagome,Valid,Iron,238,Fell,1926,12343,35.733330,139.750000
Konovo,Valid,LL5,90,Fell,1931,12344,42.516670,26.166670
Košice,Valid,H5,4300,Fell,2010,53810,48.763670,21.176330
Krähenberg,Valid,LL5,16500,Fell,1869,12353,49.326940,7.464720
Krasnoi-Ugol,Valid,L6,2440,Fell,1829,12355,54.033330,40.900000
Krasnyi Klyuch,Valid,H5,4000,Fell,1946,12357,54.333330,56.083330
Krutikha,Valid,OC,845.2,Fell,1906,12363,56.800000,77.000000
Krymka,Valid,LL3.2,50000,Fell,1946,12364,47.833330,30.766670
Kukschin,Valid,L6,2250,Fell,1938,12368,51.150000,31.700000
Kulak,Valid,L5,453.6,Fell,1961,12369,30.731110,66.802220
Kuleschovka,Valid,L6,6000,Fell,1811,12370,50.750000,33.500000
Kulp,Valid,H6,3719,Fell,1906,12373,41.116670,45.000000
Kunashak,Valid,L6,200000,Fell,1949,12377,55.783330,61.366670
Kunya-Urgench,Valid,H5,1.1e+06,Fell,1998,12379,42.250000,59.200000
Kushiike,Valid,OC,4460,Fell,1920,12381,37.050000,138.383330
Kusiali,Valid,L6,5,Fell,1860,12382,29.683330,78.383330
Kutais,Valid,H5,23,Fell,1977,12383,44.516670,39.300000
Kuttippuram,Valid,L6,45000,Fell,1914,12384,10.833330,76.033330
Kuznetzovo,Valid,L6,4047,Fell,1932,12385,55.200000,75.333330
Kyushu,Valid,L6,45000,Fell,1886,12390,32.033330,130.633330
La Bécasse,Valid,L6,2800,Fell,1879,12392,47.083330,1.750000
La Charca,Valid,OC,399,Fell,1878,12394,20.666670,-101.283330
La Colina,Valid,H5,2000,Fell,1924,12395,-37.333330,-61.533330
La Criolla,Valid,L6,45000,Fell,1985,12396,-31.233330,-58.166670
Laborel,Valid,H5,3833,Fell,1871,12408,44.283330,5.583330
Lahrauli,Valid,Ureilite,900,Fell,1955,12433,26.783330,82.716670
L'Aigle,Valid,L6,37000,Fell,1803,12434,48.766670,0.633330
Lakangaon,Valid,Eucrite-mmict,212.5,Fell,1910,12435,21.866670,76.033330
Lalitpur,Valid,L6,372,Fell,1887,12451,24.450000,78.566670
Lancé,Valid,CO3.5,51700,Fell,1872,12455,47.700000,1.066670
Lancon,Valid,H6,7000,Fell,1897,12456,43.750000,5.116670
Långhalsen,Valid,L6,2300,Fell,1947,12461,58.850000,16.733330
Lanxi,Valid,L6,1282,Fell,1986,12464,46.241670,126.196110
Lanzenkirchen,Valid,L4,7000,Fell,1925,12465,47.750000,16.233330
Laochenzhen,Valid,H5,14250,Fell,1987,12466,33.133330,115.166670
Launton,Valid,L6,1060,Fell,1830,12740,51.900000,-1.116670
Lavrentievka,Valid,L6,800,Fell,1938,12743,52.450000,51.566670
Le Pressoir,Valid,H5,3000,Fell,1845,12748,47.166670,0.433330
Le Teilleul,Valid,Howardite,780,Fell,1845,12749,48.533330,-0.866670
Leedey,Valid,L6,51500,Fell,1943,12755,35.883330,-99.333330
Leeuwfontein,Valid,L6,460,Fell,1912,12756,-25.666670,28.366670
Leighlinbridge,Valid,L6,271.4,Fell,1999,12759,52.666670,-6.966670
Leighton,Valid,H5,877,Fell,1907,12760,34.583330,-87.500000
Leonovka,Valid,L6,700,Fell,1900,12765,52.266670,32.850000
Les Ormes,Valid,L6,125,Fell,1857,12769,48.350000,3.250000
Lesves,Valid,L6,2000,Fell,1896,12772,50.366670,4.733330
Lichtenberg,Valid,H6,4000,Fell,1973,14646,-26.150000,26.183330
Lillaverke,Valid,H5,6862,Fell,1930,14650,56.650000,15.866670
Limerick,Valid,H5,50000,Fell,1813,14652,52.566670,-8.783330
Linum,Valid,L6,1862,Fell,1854,14655,52.750000,12.900000
Lishui,Valid,L5,498,Fell,1978,14659,31.633330,118.983330
Lissa,Valid,L6,12800,Fell,1808,14661,50.200000,14.850000
Little Piney,Valid,L5,491,Fell,1839,14664,37.916670,-92.083330
Lixna,Valid,H4,5213,Fell,1820,14670,56.000000,26.433330
Lodran,Valid,Lodranite,1000,Fell,1868,14675,29.533330,71.800000
Lohawat,Valid,Howardite,40000,Fell,1994,14678,26.965560,72.626670
Lorton,Valid,L6,329.7,Fell,2010,52843,38.700660,-77.211630
Los Martinez,Valid,L6,25,Fell,1894,14708,38.000000,-0.833330
Lost City,Valid,H5,17000,Fell,1970,14711,36.008330,-95.150000
Louisville,Valid,L6,1300,Fell,1977,14716,38.250000,-85.750000
Łowicz,Valid,Mesosiderite-A3,59000,Fell,1935,14718,52.000000,19.916670
Lua,Valid,L5,9241,Fell,1926,14721,24.950000,75.150000
Lucé,Valid,L6,3500,Fell,1768,14724,47.850000,0.483330
Lumpkin,Valid,L6,340,Fell,1869,14753,32.033330,-84.766670
Lunan,Valid,H6,2520,Fell,1980,14754,24.800000,103.300000
Lundsgård,Valid,L6,11000,Fell,1889,14755,56.216670,13.033330
Luotolax,Valid,Howardite,885,Fell,1813,14756,61.200000,27.700000
Luponnas,Valid,H3-5,14000,Fell,1753,14757,46.216670,5.000000
Lusaka,Valid,Unknown,,Fell,1951,14759,-7.216670,29.433330
Mabwe-Khoywa,Valid,L5,540,Fell,1937,14764,19.000000,97.000000
Macau,Valid,H5,1500,Fell,1836,15370,-5.200000,-36.666670
Machinga,Valid,L6,93200,Fell,1981,15371,-15.212220,35.242220
Macibini,Valid,Eucrite-pmict,1995,Fell,1936,15372,-28.833330,31.950000
Madhipura,Valid,L,1000,Fell,1950,15379,25.916670,86.366670
Madiun,Valid,L6,400,Fell,1935,15380,-7.750000,111.533330
Madrid,Valid,L6,400,Fell,1896,15382,40.416670,-3.716670
Mafra,Valid,L3-4,600,Fell,1941,15383,-26.166670,-49.933330
Magnesia,Valid,"Iron, IAB-sHL",5000,Fell,1899,15386,37.866670,27.516670
Magombedze,Valid,H3-5,666.6,Fell,1990,15387,-19.483330,31.650000
Mahadevpur,Valid,H4/5,70500,Fell,2007,47361,27.666670,95.783330
Maigatari-Danduma,Valid,H5/6,4629,Fell,2004,30751,12.833330,9.383330
Malaga,Valid,OC,150,Fell,1933,15393,32.216670,-104.000000
Malakal,Valid,L5,2000,Fell,1970,15394,9.500000,31.750000
Malampaka,Valid,H,470,Fell,1930,15395,-3.133330,33.516670
Malotas,Valid,H5,,Fell,1931,15397,-28.933330,-63.233330
Malvern,Valid,Eucrite-pmict,807,Fell,1933,15400,-29.450000,26.766670
Mamra Springs,Valid,L6,1000,Fell,1927,15401,45.216670,62.083330
Manbhoom,Valid,LL6,1700,Fell,1863,15402,23.050000,86.700000
Manegaon,Valid,Diogenite,50,Fell,1843,15403,20.966670,76.100000
Mangwendi,Valid,LL6,22300,Fell,1934,15405,-17.650000,31.600000
Manych,Valid,LL3.4,3555,Fell,1951,15409,45.816670,44.633330
Mardan,Valid,H5,4500,Fell,1948,15414,34.233330,72.083330
Maria Linden,Valid,L4,114,Fell,1925,15418,,
Mariaville,Valid,Iron,340,Fell,1898,15419,42.716670,-99.383330
Maribo,Valid,CM2,25.81,Fell,2009,48973,54.761830,11.467450
Maridi,Valid,H6,3200,Fell,1941,15421,4.666670,29.250000
Marilia,Valid,H4,2500,Fell,1971,15422,-22.250000,-49.933330
Marion (Iowa),Valid,L6,28400,Fell,1847,15424,41.900000,-91.600000
Marjalahti,Valid,"Pallasite, PMG",45000,Fell,1902,15426,61.500000,30.500000
Marmande,Valid,L5,3000,Fell,1848,15429,44.500000,0.150000
Maromandia,Valid,L6,6000,Fell,2002,15430,-14.200000,48.100000
Maryville,Valid,L6,1443,Fell,1983,15436,35.800000,-84.100000
Mascombes,Valid,L6,1000,Fell,1836,15438,45.366670,1.866670
Mason Gully,Valid,H5,24.54,Fell,2010,53653,0.000000,0.000000
Mässing,Valid,Howardite,1600,Fell,1803,15443,48.133330,12.616670
Mauerkirchen,Valid,L6,19000,Fell,1768,15446,48.183330,13.133330
Mauritius,Valid,L6,220,Fell,1801,15447,-20.000000,57.000000
Mayo Belwa,Valid,Aubrite,4850,Fell,1974,15451,8.966670,12.083330
Mazapil,Valid,"Iron, IAB-sLL",4000,Fell,1885,15453,24.683330,-101.683330
Maziba,Valid,L6,4975,Fell,1942,15454,-1.216670,30.000000
Mbale,Valid,L5/6,150000,Fell,1992,15455,1.066670,34.166670
Medanitos,Valid,Eucrite-cm,31,Fell,1953,15467,-27.250000,-67.500000
Meerut,Valid,H5,22,Fell,1861,15469,29.016670,77.800000
Meester-Cornelis,Valid,H5,24750,Fell,1915,15470,-6.233330,106.883330
Menow,Valid,H4,10500,Fell,1862,15485,53.183330,13.150000
Menziswyl,Valid,L5,28.9,Fell,1903,15486,46.818670,7.218170
Mern,Valid,L6,4000,Fell,1878,15489,55.050000,12.066670
Meru,Valid,LL6,6000,Fell,1945,15491,0.000000,37.666670
Merua,Valid,H5,71400,Fell,1920,15492,25.483330,81.983330
Messina,Valid,L5,2405,Fell,1955,15495,38.183330,15.566670
Meuselbach,Valid,L6,870,Fell,1897,16626,50.583330,11.100000
Mezel,Valid,L6,1300,Fell,1949,16627,45.766670,3.250000
Mezö-Madaras,Valid,L3.7,22700,Fell,1852,16628,46.500000,25.733330
Mhow,Valid,L6,350,Fell,1827,16629,25.900000,83.616670
Mianchi,Valid,H5,1100,Fell,1980,16631,34.800000,111.700000
Middlesbrough,Valid,L6,1600,Fell,1881,16632,54.566670,-1.166670
Mifflin,Valid,L5,3584,Fell,2010,52090,42.907500,-90.365560
Mighei,Valid,CM2,8000,Fell,1889,16634,48.066670,30.966670
Mihonoseki,Valid,L6,6380,Fell,1992,16635,35.568330,133.220000
Mike,Valid,L6,224.2,Fell,1944,16636,46.233330,17.533330
Milena,Valid,L6,10000,Fell,1842,16640,46.183330,16.100000
Millbillillie,Valid,Eucrite-mmict,330000,Fell,1960,16643,-26.450000,120.366670
Miller (Arkansas),Valid,H5,16700,Fell,1930,16645,35.400000,-92.050000
Minamino,Valid,L,1040,Fell,1632,16692,35.078330,136.933330
Mineo,Valid,Pallasite,42,Fell,1826,16696,37.283330,14.700000
Min-Fan-Zhun,Valid,LL6,5500,Fell,1952,16697,32.333330,120.666670
Minnichhof,Valid,OC,550,Fell,1905,16700,47.700000,16.600000
Mirzapur,Valid,L5,8510,Fell,1910,16701,25.683330,83.250000
Misshof,Valid,H5,5800,Fell,1890,16703,56.666670,23.000000
Mjelleim,Valid,H,100.7,Fell,1898,16707,61.733330,5.933330
Mocs,Valid,L5-6,300000,Fell,1882,16709,46.800000,24.033330
Modoc (1905),Valid,L6,35000,Fell,1905,16711,38.500000,-101.100000
Mokoia,Valid,CV3,4500,Fell,1908,16713,-39.633330,174.400000
Molina,Valid,H5,144000,Fell,1858,16715,38.116670,-1.166670
Molteno,Valid,Howardite,150,Fell,1953,16717,-31.250000,26.466670
Monahans (1998),Valid,H5,2587,Fell,1998,16719,31.608330,-102.858330
Monroe,Valid,H4,8600,Fell,1849,16720,35.250000,-80.500000
Monte das Fortes,Valid,L5,4885,Fell,1950,16725,38.016670,-8.250000
Monte Milone,Valid,L5,3130,Fell,1846,16726,43.266670,13.350000
Montferré,Valid,H5,149000,Fell,1923,16727,43.390560,1.962500
Montlivault,Valid,L6,500,Fell,1838,16729,47.633330,1.583330
Monze,Valid,L6,,Fell,1950,16733,-15.966670,27.350000
Moore County,Valid,Eucrite-cm,1880,Fell,1913,16736,35.416670,-79.383330
Mooresfort,Valid,H5,3520,Fell,1810,16737,52.450000,-8.333330
Moorleah,Valid,L6,8887.5,Fell,1930,16738,-40.975000,145.600000
Moradabad,Valid,L6,70,Fell,1808,16740,28.783330,78.833330
Morávka,Valid,H5,633,Fell,2000,16742,49.600000,18.533330
Mornans,Valid,H5,1300,Fell,1875,16747,44.600000,5.133330
Moss,Valid,CO3.6,3763,Fell,2006,36592,59.433330,10.700000
Moti-ka-nagla,Valid,H6,1500,Fell,1868,16759,26.833330,77.333330
Motta di Conti,Valid,H4,9150,Fell,1868,16762,45.200000,8.500000
Mount Browne,Valid,H6,11300,Fell,1902,16766,-29.800000,141.700000
Mount Tazerzait,Valid,L5,110000,Fell,1991,16804,18.700000,4.800000
Mount Vaisi,Valid,Stone-uncl,17000,Fell,1637,16805,44.083330,6.866670
Mtola,Valid,Stone-uncl,1100,Fell,1944,16820,-11.500000,33.500000
Muddoor,Valid,L5,4400,Fell,1865,16841,12.633330,77.016670
Mulletiwu,Valid,L,25.5,Fell,1795,16851,9.333330,80.833330
Muraid,Valid,L6,4703,Fell,1924,16874,24.500000,90.216670
Murchison,Valid,CM2,100000,Fell,1969,16875,-36.616670,145.200000
Murray,Valid,CM2,12600,Fell,1950,16882,36.600000,-88.100000
Muzaffarpur,Valid,"Iron, IAB-sHL",1245,Fell,1964,16885,26.133330,85.533330
Myhee Caunta,Valid,OC,,Fell,1842,16887,23.050000,72.633330
Nadiabondi,Valid,H5,8165,Fell,1956,16889,12.000000,1.000000
Nagai,Valid,L6,1810,Fell,1922,16890,38.121670,140.061670
Nagaria,Valid,Eucrite-cm,20,Fell,1875,16892,26.983330,78.216670
Nagy-Borové,Valid,L5,6100,Fell,1895,16893,49.166670,19.500000
Nakhla,Valid,Martian (nakhlite),10000,Fell,1911,16898,31.316670,30.350000
Nakhon Pathom,Valid,L6,23200,Fell,1923,16899,13.733330,100.083330
Nammianthal,Valid,H5,4500,Fell,1886,16902,12.283330,79.200000
Nan Yang Pao,Valid,L6,52900,Fell,1917,16903,35.666670,103.500000
Nanjemoy,Valid,H6,7500,Fell,1825,16904,38.416670,-77.166670
Nantong,Valid,H6,529,Fell,1984,16907,32.116670,121.800000
Naoki,Valid,H6,17000,Fell,1928,16908,19.250000,77.000000
Naragh,Valid,H6,2700,Fell,1974,16909,33.750000,51.500000
Narellan,Valid,L6,367.5,Fell,1928,16912,-34.050000,150.688890
Narni,Valid,Stone-uncl,,Fell,921,16914,42.516670,12.516670
Nassirah,Valid,H4,347,Fell,1936,16922,-21.733330,165.900000
Natal,Valid,Stone-uncl,1.4,Fell,1973,16923,,
Nawapali,Valid,CM2,105,Fell,1890,16927,21.250000,83.666670
Neagari,Valid,L6,420,Fell,1995,16934,36.449170,136.465280
Nedagolla,Valid,"Iron, ungrouped",4500,Fell,1870,16935,18.683330,83.483330
Nejo,Valid,L6,2450,Fell,1970,16941,9.500000,35.333330
Nerft,Valid,L6,10250,Fell,1864,16945,56.500000,21.500000
Neuschwanstein,Valid,EL6,6189,Fell,2002,16950,47.525000,10.808330
New Concord,Valid,L6,230000,Fell,1860,16953,40.000000,-81.766670
New Halfa,Valid,L4,12000,Fell,1994,16954,15.366670,35.683330
New Orleans,Valid,H5,19256,Fell,2003,16960,29.947180,-90.109760
Ngawi,Valid,LL3.6,1393,Fell,1883,16966,-7.450000,111.416670
N'Goureyma,Valid,"Iron, ungrouped",37500,Fell,1900,16968,13.850000,-4.383330
Nicorps,Valid,Stone-uncl,,Fell,1750,16970,49.033330,-1.433330
Niger (L6),Valid,L6,3.3,Fell,1967,16974,,
Niger (LL6),Valid,LL6,3.3,Fell,1967,16975,,
Nikolaevka,Valid,H4,3996,Fell,1935,16976,52.450000,78.633330
Nikolskoe,Valid,L4,6000,Fell,1954,16977,56.116670,37.333330
Ningbo,Valid,"Iron, IVA",14250,Fell,1975,16980,29.866670,121.483330
Ningqiang,Valid,C3-ung,4610,Fell,1983,16981,32.925000,105.906670
Nio,Valid,H3-4,467,Fell,1897,16982,34.200000,131.566670
N'Kandhla,Valid,"Iron, IID",17200,Fell,1912,16983,-28.566670,30.700000
Nobleborough,Valid,Eucrite-pmict,2300,Fell,1823,16984,44.083330,-69.483330
Noblesville,Valid,H4-6,483.7,Fell,1991,16985,40.085280,-86.055000
Nogata,Valid,L6,472,Fell,861,16988,33.725000,130.750000
Nogoya,Valid,CM2,4000,Fell,1879,16989,-32.366670,-59.833330
Norfork,Valid,"Iron, IIIAB",1050,Fell,1918,16994,36.216670,-92.266670
Norton County,Valid,Aubrite,1.1e+06,Fell,1948,17922,39.683330,-99.866670
Noventa Vicentina,Valid,H4,177,Fell,1971,17930,45.291670,11.527220
Novo-Urei,Valid,Ureilite,1900,Fell,1886,17933,54.816670,46.000000
Novy-Ergi,Valid,Stone-uncl,,Fell,1662,17934,58.550000,31.333330
Novy-Projekt,Valid,OC,1001,Fell,1908,17935,56.000000,22.000000
Noyan-Bogdo,Valid,L6,250,Fell,1933,17936,42.916670,102.466670
Nuevo Mercurio,Valid,H5,50000,Fell,1978,17938,24.300000,-102.133330
Nulles,Valid,H6,5000,Fell,1851,17959,41.633330,0.750000
Numakai,Valid,H4,363,Fell,1925,17960,43.333330,141.866670
Nyaung,Valid,"Iron, IIIAB",737.6,Fell,1939,17969,21.208330,94.916670
Nyirábrany,Valid,LL5,1100,Fell,1914,17970,47.550000,22.025000
Ochansk,Valid,H4,500000,Fell,1887,17979,57.783330,55.266670
Oesede,Valid,H5,1400,Fell,1927,17988,52.283330,8.050000
Oesel,Valid,L6,6000,Fell,1855,17989,58.500000,23.000000
Ofehértó,Valid,L6,3750,Fell,1900,17990,47.883330,22.033330
Ogi,Valid,H6,14360,Fell,1741,17994,33.283330,130.200000
Ohaba,Valid,H5,16250,Fell,1857,17995,46.066670,23.583330
Ohuma,Valid,L5,7700,Fell,1963,17996,6.750000,8.500000
Ojuelos Altos,Valid,L6,5850,Fell,1926,17997,38.183330,-5.400000
Okabe,Valid,H5,194,Fell,1958,17998,36.183330,139.216670
Okano,Valid,"Iron, IIAB",4742,Fell,1904,18000,35.083330,135.200000
Okniny,Valid,LL6,12000,Fell,1834,18002,50.833330,25.500000
Oldenburg (1930),Valid,L6,16570,Fell,1930,18009,52.950000,8.166670
Oliva-Gandia,Valid,Stone-uncl,,Fell,1520,18012,39.000000,-0.033330
Olivenza,Valid,LL5,150000,Fell,1924,18013,38.716670,-7.066670
Olmedilla de Alarcón,Valid,H5,40000,Fell,1929,18015,39.566670,-2.100000
Omolon,Valid,"Pallasite, PMG",250000,Fell,1981,18019,64.020000,161.808330
Orgueil,Valid,CI1,14000,Fell,1864,18026,43.883330,1.383330
Orlando,Valid,Eucrite,180,Fell,2004,34489,28.547500,-81.362220
Ornans,Valid,CO3.4,6000,Fell,1868,18030,47.116670,6.150000
Ortenau,Valid,Stone-uncl,4500,Fell,1671,18033,48.500000,8.000000
